activity subject variable value
1  1 average_mean_X                0.277330759
1  2 average_mean_X                0.276426586
1  3 average_mean_X                0.275567462
1  4 average_mean_X                0.278582015
1  5 average_mean_X                0.277842346
1  6 average_mean_X                0.283658868
1  7 average_mean_X                0.275592962
1  8 average_mean_X                0.274686310
1  9 average_mean_X                0.278502842
1 10 average_mean_X                0.278574077
1 11 average_mean_X                0.271821893
1 12 average_mean_X                0.277128666
1 13 average_mean_X                0.275883130
1 14 average_mean_X                0.271959599
1 15 average_mean_X                0.273899208
1 16 average_mean_X                0.276023565
1 17 average_mean_X                0.272341855
1 18 average_mean_X                0.273887759
1 19 average_mean_X                0.273931172
1 20 average_mean_X                0.272589336
1 21 average_mean_X                0.279183527
1 22 average_mean_X                0.278864590
1 23 average_mean_X                0.273211884
1 24 average_mean_X                0.276980816
1 25 average_mean_X                0.278992759
1 26 average_mean_X                0.279264444
1 27 average_mean_X                0.276849485
1 28 average_mean_X                0.281228224
1 29 average_mean_X                0.271999917
1 30 average_mean_X                0.276406758
2  1 average_mean_X                0.255461690
2  2 average_mean_X                0.247164790
2  3 average_mean_X                0.260819873
2  4 average_mean_X                0.270876697
2  5 average_mean_X                0.268459470
2  6 average_mean_X                0.268229355
2  7 average_mean_X                0.248706923
2  8 average_mean_X                0.258880152
2  9 average_mean_X                0.262436476
2 10 average_mean_X                0.267121853
2 11 average_mean_X                0.263775859
2 12 average_mean_X                0.272970339
2 13 average_mean_X                0.258203940
2 14 average_mean_X                0.262421066
2 15 average_mean_X                0.270187596
2 16 average_mean_X                0.255986103
2 17 average_mean_X                0.252604769
2 18 average_mean_X                0.265401202
2 19 average_mean_X                0.242118809
2 20 average_mean_X                0.252098317
2 21 average_mean_X                0.265194545
2 22 average_mean_X                0.248391535
2 23 average_mean_X                0.249995171
2 24 average_mean_X                0.269881107
2 25 average_mean_X                0.277995411
2 26 average_mean_X                0.272691395
2 27 average_mean_X                0.265770254
2 28 average_mean_X                0.262005842
2 29 average_mean_X                0.265423067
2 30 average_mean_X                0.271415642
3  1 average_mean_X                0.289188320
3  2 average_mean_X                0.277615348
3  3 average_mean_X                0.292423485
3  4 average_mean_X                0.279965330
3  5 average_mean_X                0.293543927
3  6 average_mean_X                0.277045258
3  7 average_mean_X                0.280307080
3  8 average_mean_X                0.283484089
3  9 average_mean_X                0.295923445
3 10 average_mean_X                0.290401594
3 11 average_mean_X                0.291605632
3 12 average_mean_X                0.281521097
3 13 average_mean_X                0.294907553
3 14 average_mean_X                0.293422116
3 15 average_mean_X                0.280198851
3 16 average_mean_X                0.295586802
