activity subject variable mean std
1  1 BodyAcc.X            2.773308e-01 -0.2837402588
1  1 BodyAcc.X.1         -2.027943e-01 -0.3191347196
1  1 BodyAcc.Y           -1.738382e-02  0.1144613367
1  1 BodyAcc.Y.1          8.971273e-02  0.0560400068
1  1 BodyAcc.Z           -1.111481e-01 -0.2600279022
1  1 BodyAcc.Z.1         -3.315601e-01 -0.2796867515
1  1 BodyAccJerk.X        7.404163e-02 -0.1136156024
1  1 BodyAccJerk.X.1     -1.705470e-01 -0.1335866063
1  1 BodyAccJerk.Y        2.827211e-02  0.0670025008
1  1 BodyAccJerk.Y.1     -3.522552e-02  0.1067398571
1  1 BodyAccJerk.Z       -4.168406e-03 -0.5026997885
1  1 BodyAccJerk.Z.1     -4.689992e-01 -0.5347134404
1  1 BodyAccJerkMag      -1.414288e-01 -0.0744717501
1  1 BodyAccMag          -1.369712e-01 -0.2196886456
1  1 BodyAccMag.1        -1.286235e-01 -0.3980325868
1  1 BodyBodyAccJerkMag  -5.711940e-02 -0.1034924030
1  1 BodyBodyGyroJerkMag -3.193086e-01 -0.3816019118
1  1 BodyBodyGyroMag     -1.992526e-01 -0.3210179539
1  1 BodyGyro.X          -4.183096e-02 -0.4735354859
1  1 BodyGyro.X.1        -3.390322e-01 -0.5166919387
1  1 BodyGyro.Y          -6.953005e-02 -0.0546077687
1  1 BodyGyro.Y.1        -1.030594e-01 -0.0335081598
1  1 BodyGyro.Z           8.494482e-02 -0.3442666295
1  1 BodyGyro.Z.1        -2.559409e-01 -0.4365622275
1  1 BodyGyroJerk.X      -8.999754e-02 -0.2074218548
1  1 BodyGyroJerk.Y      -3.984287e-02 -0.3044685106
1  1 BodyGyroJerk.Z      -4.613093e-02 -0.4042554526
1  1 BodyGyroJerkMag     -2.987037e-01 -0.3253248789
1  1 BodyGyroMag         -1.609796e-01 -0.1869783645
1  1 GravityAcc.X         9.352232e-01 -0.9766096425
1  1 GravityAcc.Y        -2.821650e-01 -0.9713059615
1  1 GravityAcc.Z        -6.810286e-02 -0.9477172261
1  1 GravityAccMag       -1.369712e-01 -0.2196886456
1  2 BodyAcc.X            2.764266e-01 -0.4236428385
1  2 BodyAcc.X.1         -3.460482e-01 -0.4576513837
1  2 BodyAcc.Y           -1.859492e-02 -0.0780912533
1  2 BodyAcc.Y.1         -2.190481e-02 -0.1692196862
1  2 BodyAcc.Z           -1.055004e-01 -0.4252575249
1  2 BodyAcc.Z.1         -4.538064e-01 -0.4552221464
1  2 BodyAccJerk.X        6.180807e-02 -0.2775304626
1  2 BodyAccJerk.X.1     -3.046153e-01 -0.3143130634
1  2 BodyAccJerk.Y        1.824927e-02 -0.0166022363
1  2 BodyAccJerk.Y.1     -7.876408e-02 -0.0153329520
1  2 BodyAccJerk.Z        7.895337e-03 -0.5860904190
1  2 BodyAccJerk.Z.1     -5.549567e-01 -0.6158981885
1  2 BodyAccJerkMag      -2.814242e-01 -0.1641509851
1  2 BodyAccMag          -2.904076e-01 -0.4225441693
1  2 BodyAccMag.1        -3.242894e-01 -0.5771052117
1  2 BodyBodyAccJerkMag  -1.690644e-01 -0.1640919694
1  2 BodyBodyGyroJerkMag -5.832493e-01 -0.5581045547
1  2 BodyBodyGyroMag     -5.307048e-01 -0.6517928397
1  2 BodyGyro.X          -5.302582e-02 -0.5615502558
1  2 BodyGyro.X.1        -4.297135e-01 -0.6040530192
1  2 BodyGyro.Y          -4.823823e-02 -0.5384536678
1  2 BodyGyro.Y.1        -5.547721e-01 -0.5330469525
1  2 BodyGyro.Z           8.283366e-02 -0.4810855351
1  2 BodyGyro.Z.1        -3.966599e-01 -0.5598566351
1  2 BodyGyroJerk.X      -8.188334e-02 -0.3895498315
1  2 BodyGyroJerk.Y      -5.382994e-02 -0.6341404361
1  2 BodyGyroJerk.Z      -5.149392e-02 -0.4354926773
1  2 BodyGyroJerkMag     -5.479120e-01 -0.5577981514
1  2 BodyGyroMag         -4.465491e-01 -0.5530199163
1  2 GravityAcc.X         9.130173e-01 -0.9726932014
1  2 GravityAcc.Y        -3.466071e-01 -0.9721168797
1  2 GravityAcc.Z         8.472709e-02 -0.9720728476
1  2 GravityAccMag       -2.904076e-01 -0.4225441693
1  3 BodyAcc.X            2.755675e-01 -0.3603567260
1  3 BodyAcc.X.1         -3.166140e-01 -0.3792767812
1  3 BodyAcc.Y           -1.717678e-02 -0.0699140652
1  3 BodyAcc.Y.1         -8.130244e-02 -0.1240308320
1  3 BodyAcc.Z           -1.126749e-01 -0.3874119943
1  3 BodyAcc.Z.1         -4.123741e-01 -0.4229984740
1  3 BodyAccJerk.X        8.147459e-02 -0.2686796439
1  3 BodyAccJerk.X.1     -3.046944e-01 -0.2965966331
1  3 BodyAccJerk.Y        1.005915e-02 -0.0449619594
1  3 BodyAccJerk.Y.1     -1.405086e-01 -0.0056149876
1  3 BodyAccJerk.Z       -5.622646e-03 -0.5294861164
1  3 BodyAccJerk.Z.1     -5.141373e-01 -0.5435291081
1  3 BodyAccJerkMag      -2.800093e-01 -0.1399163553
1  3 BodyAccMag          -2.546903e-01 -0.3284289366
1  3 BodyAccMag.1        -2.900315e-01 -0.4563730809
1  3 BodyBodyAccJerkMag  -1.867645e-01 -0.0898519904
